"POPONE"	"POPTWO"	"POPTHREE"	"DISP"
99771	104	775	0.0413277
595	70902	472	0.2697331
127	1004	571	0.1626665
11335	806	608	0.1766339
25880	303	53862	0.1091568
2011	122	6199	0.1095524
422	2862	699	0.0239622
37845	34619	4665	0.2819426
30404	61758	15724	0.0980667
2745	11394	32025	0.2738903
1529	6217	3389	0.2152386
1428	13856	11583	0.2101979
1821	511	24379	0.1250695
50173	69545	27058	0.0179582
344	1255	1647	0.2794062
2582	4149	155	0.0365949
65675	9198	124	0.2902049
56433	4394	50408	0.0310991
16677	10532	5064	0.0052745
244	8914	4604	0.044593
831	55763	10542	0.2783954
1340	112	42422	0.2116994
94036	170	765	0.1536608
20191	728	108	0.0873582
37280	32180	280	0.1102284
5660	129	274	0.0814464
61490	43718	16895	0.2916521
5187	24065	356	0.1419784
1334	963	8126	0.2875398
20551	21342	213	0.194382
24673	388	28458	0.1649249
77628	38795	74513	0.1407679
17129	11584	668	0.0472229
171	19135	78332	0.2500141
4178	1094	748	0.1251916
547	198	6129	0.1029474
692	197	12089	0.0655919
938	280	1003	0.1163798
187	2420	189	0.1280663
75605	1435	832	0.0288667
1046	1544	11027	0.0463037
4398	179	42888	0.0095906
139	4118	620	0.1656923
2273	76196	875	0.1228426
206	1175	2354	0.1609356
51313	5191	307	0.1945077
1107	43282	2689	0.2772127
435	43682	73756	0.1525064
786	18168	287	0.2081146
8743	8044	122	0.261223
95527	1028	19230	0.2363215
546	19320	474	0.1328771
218	437	70944	0.0106427
329	1906	263	0.2494636
196	60695	100	0.2562172
2050	533	102	0.0530932
4310	60375	23601	0.1993457
13949	4533	356	0.1986313
537	538	5733	0.2603804
1573	16104	3343	0.1549543
22059	4431	58614	0.1076346
2129	13834	3282	0.0365015
421	476	51074	0.2948225
57671	2694	11493	0.0993816
191	3573	402	0.1133581
1227	2949	63761	0.1790236
1983	1600	217	0.2442053
89507	1904	951	0.2927699
14401	21187	71444	0.1363728
924	3787	2954	0.0640761
31564	660	2447	0.1010966
369	12080	15196	0.1940239
27136	358	18423	0.1754867
17992	175	372	0.24159
30774	276	1668	0.2964627
1496	86656	7843	0.2983992
1509	7732	3627	0.1749998
729	95138	6487	0.1341427
13167	112	7382	0.2334241
16391	36327	1656	0.1881497
5201	78793	1658	0.2987232
127	1098	1079	0.217441
1403	924	63706	0.2215865
518	3105	6740	0.1157768
5016	2177	13892	0.1233098
73701	41832	526	0.055205
6885	23382	342	0.2267853
137	33914	2413	0.0313776
19711	180	144	0.1959247
16697	252	1429	0.0021089
154	166	40479	0.2630115
129	15507	417	0.156744
1631	31572	6295	0.294676
26345	4884	315	0.140237
399	918	67109	0.1145533
6576	427	1044	0.1126123
599	38250	40609	0.1085025
2405	43465	344	0.0132978
133	44000	27167	0.2920716
158	10771	113	0.0435587
5849	37343	27610	0.1994006
515	564	19708	0.1168599
30123	378	22418	0.1137637
10498	3289	30456	0.0054898
124	91996	157	0.0190166
9766	3873	3267	0.0777131
539	16859	320	0.0426694
947	55822	12814	0.2433168
3048	17740	6236	0.0680376
4070	31766	4389	0.0722901
30645	44142	774	0.1191084
445	8898	4157	0.2348152
8152	161	26003	0.2774119
1137	202	2127	0.2333959
1224	155	158	0.0031999
13878	62042	33585	0.1755999
1234	50787	177	0.0830064
739	342	2729	0.0748111
1128	97467	595	0.2215619
340	1613	28135	0.139822
1376	205	168	0.0944411
402	20654	80725	0.2728078
1437	12279	270	0.0779562
4297	1282	19356	0.173826
3911	794	260	0.143279
15365	127	8946	0.1877176
10613	1611	16870	0.1117268
229	748	26325	0.0434583
686	1645	123	0.1292413
1752	1276	2441	0.2829144
15044	704	9906	0.1462576
7098	145	262	0.2069759
98891	1535	24033	0.1000343
116	28131	11540	0.1439169
320	12669	159	0.1747352
2231	34526	108	0.111724
2292	560	14827	0.1398802
198	58293	76905	0.1184225
5686	5051	5305	0.1186208
109	31802	65306	0.0586705
502	133	823	0.161349
33559	76248	250	0.2719559
71755	22006	13223	0.284497
642	4187	87737	0.0993146
12381	196	54677	0.0664964
133	825	17980	0.2408456
305	18048	121	0.1453759
83825	15135	1096	0.0786728
17655	722	42268	0.1503673
5374	2590	1492	0.0367201
4525	7561	4581	0.263312
43818	9321	8500	0.2346374
1652	29399	1263	0.1585575
37938	431	35214	0.2914306
754	113	9715	0.1022148
1418	9676	3511	0.2488655
486	174	1527	0.1174713
9556	941	11580	0.2746395
11869	185	36596	0.1538391
2174	4167	72734	0.0571029
2393	106	29261	0.1901228
1066	11330	17427	0.2758237
148	24169	208	0.0555607
27111	158	2011	0.1909266
63701	2463	117	0.1103266
428	203	30523	0.0647039
1228	1184	13160	0.0677854
40447	310	471	0.1119246
76640	40197	504	0.0596304
35693	2213	1531	0.1777633
274	62010	1273	0.0877034
219	5677	182	0.1427391
15138	3090	26248	0.0659543
10302	23403	79058	0.0259702
139	72793	1580	0.0431774
31744	787	3741	0.1394518
8803	336	28221	0.1556112
72232	35427	4441	0.1376761
16271	3799	4832	0.2972542
1979	130	561	0.0829682
850	18079	30135	0.2175116
979	59842	35171	0.1489939
456	149	1398	0.0996476
3064	4323	134	0.2061836
381	33523	15591	0.0369076
286	140	476	0.135041
363	145	1515	0.2837832
2390	132	517	0.1653683
15942	1055	19321	0.1505189
25683	86540	1838	0.2882839
88346	84182	23080	0.2489659
12354	3170	499	0.0861013
1045	3328	6195	0.1458807
5455	424	130	0.2276141
113	2854	77459	0.2485606
232	40641	168	0.0776685
169	1661	4297	0.1996757
34994	4256	2308	0.2720028
3205	468	3775	0.1998694
2567	112	1714	0.1284032
128	53081	88870	0.1892877
56701	1272	2679	0.1425884
623	1162	74464	0.0412902
247	43187	3307	0.0226163
2626	4927	817	0.0093146
123	444	42341	0.2735479
2599	11671	3236	0.2843994
749	10271	704	0.162874
458	6660	41082	0.2954446
16433	389	18080	0.000286686
63259	87222	1213	0.2450853
3447	518	123	0.1770361
18016	32349	308	0.1565541
14982	16696	272	0.147855
11586	1334	19020	0.2799146
7741	688	14745	0.0791657
1838	85373	21320	0.094237
1252	637	135	0.2649022
27348	2528	40225	0.1526024
2969	253	19927	0.2936407
100	242	367	0.1075413
132	102	28845	0.2869345
362	48120	422	0.1273372
31066	2836	74124	0.0152101
318	48006	70202	0.0011439
17471	48878	29573	0.2319264
32111	127	1001	0.1100177
12584	266	10434	0.2194593
368	39526	14910	0.0615437
2216	519	835	0.1112312
26769	44412	1247	0.1086458
3648	277	150	0.0117677
7872	31672	335	0.0372544
2015	7472	827	0.0808607
65875	928	7978	0.250737
4617	5549	8864	0.244681
179	950	150	0.1405832
77760	26679	94186	0.038601
609	221	30632	0.1869797
2425	395	2519	0.1698054
192	107	15785	0.2592451
5775	188	176	0.1119292
21988	1568	274	0.2939825
668	3129	1375	0.2041626
7283	562	3983	0.2692263
11454	38079	5204	0.0198083
16427	310	1493	0.171187
129	440	364	0.169943
4223	508	11729	0.1724579
830	283	2034	0.1213068
13055	26731	63908	0.0198497
232	247	4673	0.058708
1349	9858	496	0.2672926
305	572	1368	0.1585672
2553	3102	333	0.0036983
22651	62346	64685	0.1129128
12010	1025	136	0.0626587
1343	555	235	0.1275261
41709	40407	9925	0.2386066
12450	909	11526	0.0629902
12166	48145	1544	0.0074943
1943	584	7737	0.0496557
4236	1143	3893	0.0292562
21076	365	693	0.0840534
64088	158	1591	0.0981117
1986	513	3352	0.0500202
81031	1030	3049	0.0410551
29446	234	49779	0.0910647
73240	29170	2796	0.206253
295	17674	194	0.1239036
1600	86132	26597	0.0147221
27985	45814	56217	0.2120033
49865	963	797	0.168465
3087	4922	856	0.1174516
65735	5293	4248	0.2226069
197	43779	161	0.0387936
71440	4520	737	0.2176571
1307	1513	1232	0.0686749
317	165	120	0.2613443
16645	68113	36927	0.1734137
1567	57603	6057	0.0242971
118	113	503	0.2476818
40831	61876	1566	0.1294449
1351	12820	140	0.0517532
27156	16101	116	0.2833496
275	82535	35701	0.0963666
61461	1384	79867	0.1246697
4153	753	296	0.0340981
12965	6866	1074	0.2001381
3239	1260	173	0.2336413
16644	4580	12841	0.128302
550	1492	1361	0.2537632
268	8667	51412	0.0974592
1639	4900	1826	0.0854189
444	88213	16281	0.1072327
3510	39948	17268	0.027458
371	34192	15340	0.2847817
2330	9426	24180	0.2896235
5990	1349	132	0.2465125
5033	728	50342	0.1934415
311	90539	10839	0.0546119
21464	742	1269	0.1838198
1847	3142	65396	0.1662617
54084	1841	89731	0.2325044
76453	951	1447	0.1275259
29659	186	68501	0.1494961
2780	56785	8701	0.0668669
22832	245	56294	0.1809471
4775	518	1806	0.2882728
73862	937	209	0.1245202
44722	1611	4866	0.0092279
31782	12936	114	0.0282517
48522	233	335	0.1033182
3190	20469	15273	0.1684258
1895	2092	19469	0.2449001
1005	135	3285	0.0021298
7027	4057	94492	0.2640798
5794	693	18386	0.2600881
1961	620	561	0.1438988
5858	334	20465	0.2759882
2995	415	2395	0.2909545
24453	41571	196	0.1657735
7371	44516	80785	0.0227624
16181	30234	9565	0.0049647
82167	784	22006	0.1063196
220	34351	936	0.2926061
7793	80641	45066	0.1594318
83707	36741	2462	0.2620069
28384	43734	34807	0.077486
836	10865	1098	0.1797167
4938	12038	198	0.0699826
314	53526	4259	0.1366534
7955	696	6097	0.0173476
399	55700	2336	0.1856362
1465	5476	233	0.1613482
4967	1806	414	0.0070381
901	671	84991	0.1509204
9624	17870	2631	0.1548165
9866	3157	18969	0.017054
8592	1681	3610	0.0035396
5503	822	1684	0.1309284
739	136	10067	0.2382703
4851	5187	700	0.2413439
112	6144	238	0.0145395
122	6293	2640	0.0326581
622	253	64417	0.1865254
12661	740	8851	0.2292544
7531	1714	71354	0.1783181
112	4497	586	0.2282713
1600	6739	49372	0.0809561
549	1350	122	0.1656796
2868	1038	5484	0.0128909
24938	2560	1673	0.2641572
22325	210	152	0.2957495
729	37453	347	0.158629
8518	149	48889	0.087631
943	51879	21183	0.1395896
214	22927	2548	0.2957512
25234	103	12678	0.1152879
1134	30583	4822	0.2145003
101	23634	5639	0.0290565
20120	47767	12415	0.2176317
476	1129	90514	0.280825
3146	215	25312	0.0782816
5351	118	35786	0.0304798
91538	17933	2790	0.0251873
2519	7078	776	0.2058228
1046	318	730	0.1686415
7854	30781	4261	0.2122117
4747	22703	2971	0.0191777
969	17865	6953	0.0026005
25046	14208	3250	0.215013
4094	179	183	0.1996709
2921	1515	1911	0.1320626
300	18321	4581	0.018153
14663	140	1262	0.2695285
7631	884	58509	0.2994122
55259	885	15138	0.2562611
215	1391	6006	0.0448962
1306	6965	8487	0.1220814
71347	1697	12119	0.0316005
279	44595	26102	0.2796891
12116	33749	12294	0.1819951
53249	435	2304	0.2931008
1638	588	1703	0.0248239
539	30640	7121	0.2141528
143	32677	180	0.1654678
9135	139	25102	0.2015067
329	1070	34856	0.03463
263	289	2151	0.1951588
54014	9934	5793	0.2494172
164	49408	512	0.1190984
968	18382	155	0.2461596
76241	6087	6623	0.0838311
514	1132	593	0.0100828
16955	9010	2911	0.0131803
62482	123	114	0.0232144
265	4663	16634	0.0023395
60800	9264	113	0.1270533
40188	116	209	0.2318966
6346	15978	760	0.1859927
822	278	355	0.0386343
1713	28165	194	0.0187853
109	46133	53776	0.270912
16339	62530	27381	0.1944625
122	438	742	0.1667207
289	972	3807	0.1022265
740	2377	193	0.0325351
66079	2108	64799	0.2041445
8259	6311	251	0.0086638
757	182	623	0.1479456
3793	3794	14218	0.11167
3198	11714	48965	0.1581833
15801	8796	10754	0.1477205
24181	36053	11177	0.187359
3373	5633	96633	0.1147187
3718	106	24726	0.1558375
1216	1417	359	0.1096538
1954	233	17977	0.1507869
2774	8437	43214	0.1984643
4022	10560	9416	0.1995841
70485	3440	218	0.1672877
56703	60711	44491	0.0358556
518	17772	33913	0.2782789
9328	266	16777	0.0071164
136	168	3027	0.2520322
291	463	40543	0.0202863
12479	312	1370	0.0710609
63583	18411	16800	0.1169475
1085	543	4138	0.1787603
1144	9272	21560	0.1013815
1036	213	41253	0.1770808
80253	3877	7942	0.1240308
67611	13824	704	0.089388
16609	51147	58956	0.1678622
316	40256	113	0.0966009
5306	479	1059	0.2701332
1714	15874	147	0.0199012
332	432	1483	0.1895644
249	21899	4706	0.257037
2791	79268	270	0.0417592
98640	3405	451	0.1837333
346	3501	139	0.1334319
31707	26068	4171	0.0859474
2790	4982	69598	0.2119872
85716	188	125	0.0334095
138	10019	642	0.241243
14014	20678	173	0.0383014
14740	1683	3420	0.2166618
126	436	22168	0.0865309
17194	21254	72232	0.2114357
18520	78036	126	0.0187409
311	14803	1223	0.0984162
156	22758	21430	0.1062844
537	16070	7647	0.0827437
2682	103	31017	0.2674995
20362	656	2989	0.0386798
140	5345	573	0.1258282
1599	470	1076	0.1948903
120	550	1007	0.2079825
1863	3998	337	0.1319142
770	167	778	0.2493524
8269	521	490	0.2716883
310	414	127	0.0977111
1328	15364	1208	0.0318742
64733	22901	15288	0.1413701
794	30600	285	0.1874717
2951	12773	148	0.1237055
194	1467	136	0.1711582
33351	7479	37007	0.1331724
49385	19457	20167	0.2829723
8257	2504	11855	0.2790228
59173	3519	3116	0.1206451
18659	7883	8098	0.0033215
2057	23029	1523	0.2175465
503	10412	84183	0.0585745
1055	2523	258	0.066176
5022	5104	8001	0.1333292
25964	34330	6685	0.1604678
122	193	32011	0.0866885
1487	1238	492	0.2294637
2539	1425	2050	0.2702817
139	5425	1992	0.1861362
148	724	26824	0.1360309
74938	58744	1010	0.0312175
2040	6113	192	0.1905244
236	251	326	0.2976257
310	568	5264	0.1610565
16557	28072	751	0.1840241
6991	11611	1436	0.2663019
3367	439	45409	0.138872
250	130	1117	0.0509132
14506	2657	1230	0.0112717
62459	5633	13979	0.256178
7481	1752	2621	0.2564474
20383	17657	3512	0.0480263
161	452	16003	0.1784239
289	20495	205	0.2365571
404	38030	16671	0.1197048
9788	3420	57510	0.0812351
3362	18654	3611	0.0927548
2787	29816	116	0.1738734
17421	165	43254	0.0060359
4006	7007	22443	0.216168
108	119	14680	0.2201147
1337	32677	561	0.1349198
79038	6598	3588	0.1868051
202	46885	31392	0.0135264
10060	1579	84809	0.2248919
440	50126	1346	0.1045519
417	13402	41446	0.1260991
1532	627	4132	0.2258218
48116	252	43860	0.0122658
1692	122	2067	0.1391373
185	228	997	0.2196318
6765	231	406	0.1195571
39797	322	277	0.0341766
457	3575	351	0.0777643
248	5810	36230	0.1003512
1930	457	108	0.1506466
3558	1569	739	0.1109239
693	13550	33551	0.0807029
3968	26279	6398	0.0302407
10965	37651	316	0.2842561
5401	713	5034	0.018198
32509	902	16770	0.1175829
7100	2795	17935	0.011933
17699	15261	7339	0.2461151
5763	3797	245	0.1527878
2112	1080	496	0.2757294
5975	38868	4363	0.0478073
10999	38902	3573	0.2218892
81829	1296	5620	0.116635
2586	708	43732	0.2090095
27226	19474	523	0.2312874
641	3104	129	0.1841306
439	16460	4597	0.1561941
342	812	1947	0.2513585
871	388	2705	0.1345658
34897	2368	3427	0.2761202
10265	92098	25139	0.2935083
2379	236	22370	0.2919384
863	1492	73336	0.2762933
315	61023	2936	0.2262769
4458	1123	11114	0.069573
111	150	482	0.015171
12626	6103	5834	0.1477633
29755	18495	55008	0.251561
2255	35087	28025	0.1044132
983	211	236	0.1380491
369	409	32813	0.2838667
729	1290	6756	0.0788655
3075	44322	37989	0.1065164
7959	18533	104	0.2495788
4083	71649	307	0.0332386
24052	10560	35148	0.2555738
404	17921	176	0.0660707
8368	227	271	0.0860575
36530	25076	1306	0.1982018
1895	2605	135	0.2605495
149	8142	977	0.2141184
76897	520	93260	0.1797492
8680	156	626	0.0331857
2531	103	886	0.2706647
1120	130	5279	0.1880845
68086	259	454	0.188246
29654	466	118	0.27597
24101	20138	33580	0.2813529
825	196	34287	0.2049304
417	33841	4057	0.0899951
1599	134	8671	0.004179
334	104	159	0.0680194
84560	280	8071	0.1518059
10811	671	120	0.0361002
986	497	40368	0.0836611
124	275	154	0.10386
9775	464	2476	0.1361559
31081	847	31900	0.0369104
154	1885	94164	0.1315
2398	67734	6354	0.2111096
47291	23894	142	0.1545425
16129	12185	42104	0.2878064
2010	7379	452	0.2258775
108	478	2489	0.0834965
87195	459	116	0.2208955
4358	235	7535	0.0816073
592	33780	2314	0.0488452
4161	985	545	0.1116048
24748	547	151	0.0837637
253	32292	43897	0.1155155
532	538	1966	0.028355
19448	13543	3104	0.2373538
318	278	89247	0.0891479
1627	644	2368	0.1558734
96546	26038	2313	0.1369978
4814	130	172	0.0148061
1384	84033	922	0.2753397
2461	18383	22029	0.0566958
144	41946	18128	0.0747829
14472	1168	27646	0.221365
34989	8887	13307	0.0249316
20465	418	759	0.2245491
39507	180	74561	0.0649904
1311	238	6488	0.0159684
372	4687	1059	0.1541066
93585	265	85484	0.1289407
796	1004	5853	0.0962199
3151	566	476	0.0739246
65907	1281	3143	0.1032636
9938	72044	2167	0.0981677
22540	19686	5348	0.2850129
19642	8292	431	0.1870198
5265	1805	9559	0.1198334
37084	4882	3430	0.1804688
13484	1038	5647	0.1278389
4208	1053	812	0.1615002
801	378	8350	0.1267783
1215	78245	33466	0.1701292
89033	58701	36360	0.1772876
716	1750	56763	0.2096593
7446	563	16230	0.0220072
13453	45236	67555	0.1203935
159	830	12910	0.072953
5926	2769	2864	0.065167
22110	9110	194	0.0520331
1021	578	19579	0.2750291
1574	176	315	0.2837851
3149	149	2553	0.1176113
198	122	751	0.118743
15371	11248	890	0.1563305
71469	33174	17492	0.0524952
8539	263	337	0.2669037
871	4200	7542	0.009366
1570	30324	122	0.2627221
335	7034	74208	0.1320887
5136	1149	16994	0.2765265
39609	32160	11148	0.2102311
16470	338	9219	0.0017244
59820	1349	5413	0.0915508
36820	64567	46010	0.1569918
52589	4480	92767	0.0177354
2919	222	8827	0.0531755
308	2335	13810	0.0084405
68294	263	39684	0.2836874
55456	1296	6186	0.1015912
716	522	101	0.2370256
7987	168	133	0.1018574
1038	55036	480	0.2993304
2283	3177	15159	0.1626284
1682	6459	146	0.2760923
57991	859	204	0.1200792
47235	1766	102	0.0406596
16889	3215	615	0.1547511
6215	83600	773	0.2727597
196	2919	992	0.2838998
13205	136	231	0.0727698
4027	1606	59370	0.1633593
557	2247	66958	0.2337358
7677	192	168	0.2307702
8398	121	3032	0.2174838
85796	4580	105	0.1177516
416	351	42481	0.063089
78881	943	7123	0.2592446
1159	6531	86122	0.0426005
11199	106	942	0.0366567
21028	84547	8411	0.0052769
3748	13438	3354	0.0615984
20058	220	125	0.2661831
3701	105	968	0.2528299
11785	3548	620	0.1179053
14341	55839	456	0.0379291
10685	79196	258	0.1832444
5133	1254	605	0.1308207
604	1377	11896	0.027164
123	100	155	0.1091605
2981	1197	68914	0.1717922
6580	12757	8569	0.068502
61123	108	103	0.0216749
2071	75126	38412	0.10146
13977	610	949	0.1302171
10859	3353	265	0.1210703
7384	10502	66607	0.2850464
1597	7594	393	0.1386318
5805	570	1464	0.1939856
2695	607	623	0.1014214
566	42328	716	0.0408216
11548	18055	764	0.2570956
18648	113	280	0.0242055
6260	2045	313	0.0088098
20617	12081	356	0.2878423
473	1410	77660	0.1771997
19192	243	22995	0.0908031
650	212	135	0.2574484
3275	837	714	0.1793764
53566	13002	518	0.1780245
50938	551	19865	0.1325086
1604	27927	3134	0.2991875
2971	600	37863	0.0522662
93412	293	763	0.1178782
1292	85492	35823	0.0268749
33706	5880	7186	0.0490393
222	50901	878	0.0471519
127	1122	3908	0.2322365
406	59387	199	0.0152416
1509	26500	774	0.110436
18857	26897	2258	0.0544528
631	2300	522	0.1024841
376	1403	707	0.2257371
10203	46149	154	0.0384685
135	33450	1058	0.1053022
1849	11826	12674	0.0368672
3185	140	14750	0.2425875
46427	33214	288	0.0086553
22690	2551	26239	0.0270338
57629	15572	200	0.2962413
37535	2627	27966	0.2052254
60690	33046	165	0.0240432
1864	141	962	0.1753017
57079	2331	440	0.2188926
118	88517	1335	0.0529827
3991	3354	528	0.0613674
3740	26930	64674	0.2956512
76040	466	146	0.2891852
1794	746	117	0.2514118
20719	543	53106	0.2314272
118	16663	1996	0.2136949
832	8614	23112	0.1742167
68228	97433	288	0.2804134
20479	42952	62682	0.2682596
146	3744	9612	0.0269002
159	30484	327	0.1956223
119	5779	283	0.0619534
280	5108	66847	0.1331703
129	1370	117	0.1796956
16377	1229	655	0.189028
18389	1726	941	0.2612044
292	479	23799	0.2297681
625	2030	11518	0.169684
194	1039	30845	0.1742935
12843	145	11660	0.2123284
52601	1879	842	0.0943683
529	16684	6768	0.2699279
14675	13060	202	0.0867978
598	473	1612	0.1505911
15707	31507	29311	0.1334123
44994	194	3571	0.1324078
9711	3556	254	0.2169384
258	704	92571	0.2514977
8377	5018	3839	0.1396602
288	198	2537	0.1960476
3055	75536	67708	0.2462005
4512	5916	139	0.1963902
10705	867	2172	0.2939313
56321	1655	14348	0.0206022
22439	16791	22878	0.2327525
5785	3405	1971	0.0206128
427	267	1089	0.131532
10493	27258	2300	0.0232196
294	3379	99368	0.2713848
345	215	14698	0.178125
15847	1516	64558	0.1085219
12176	2718	1660	0.1716988
1174	1433	228	0.2144638
1894	9309	396	0.1252891
25665	2003	29157	0.194053
1711	64573	62607	0.0248354
5473	143	134	0.1665459
13592	527	9680	0.0634017
1430	1596	9295	0.2617729
179	21179	40506	0.2377987
1043	54387	7088	0.0080406
1592	3563	272	0.0220453
61736	69399	38413	0.1873162
1587	2784	62425	0.1565942
106	4044	13090	0.2467803
1512	7838	12866	0.1691697
137	420	196	0.1196999
584	11137	656	0.2188897
3245	42014	22700	0.2360314
4067	2248	283	0.0172325
134	3330	35358	0.2665493
34902	123	3346	0.2463703
1161	2210	21069	0.2057731
3622	363	3636	0.1829628
1675	16871	530	0.184172
87588	12126	58541	0.2618219
51408	1153	21118	0.1535188
7979	50548	109	0.0561877
348	592	139	0.2121882
216	3537	135	0.1308224
25093	1166	296	0.1925175
12715	5414	26389	0.1893073
81726	1967	108	0.0074186
28174	561	135	0.2568438
956	5970	33215	0.0420968
57075	94591	21511	0.2756978
8808	1806	3846	0.2633842
2860	67155	25597	0.2331134
20644	26936	6398	0.2868261
43041	10427	30709	0.01426
120	353	10323	0.1480991
88563	116	1695	0.0784718
6722	7716	344	0.0701366
123	201	7943	0.0068431
5650	1102	131	0.2236068
12580	253	25456	0.2769764
1632	30690	1149	0.0968871
633	116	2183	0.0196051
88809	430	76591	0.2055086
76483	10683	719	0.1876489
31961	348	32714	0.2220356
533	10114	84205	0.2545034
1650	20848	6425	0.1665014
1644	26416	6358	0.2885204
398	2398	3951	0.0892167
152	15866	84677	0.2951068
24142	98625	1536	0.0871927
37718	78538	139	0.2207079
66791	630	268	0.0434678
15385	96366	925	0.1327562
7705	47911	23553	0.2909863
76461	13763	185	0.2997392
1783	77658	738	0.2011642
28324	915	5412	0.029755
522	5184	6197	0.0292714
65741	87380	3790	0.2890013
270	13411	19631	0.1306286
34548	46198	41392	0.0602796
134	5088	105	0.1170322
56018	9244	1650	0.2085227
18875	29642	12014	0.2283844
119	159	425	0.2934706
233	1998	1385	0.0880816
278	2003	5136	0.1284014
35620	462	76940	0.1713123
24570	2006	6021	0.2165935
411	2491	85491	0.0168318
766	3401	46677	0.0783374
2223	310	14157	0.1937025
31326	189	1511	0.2148252
37651	4241	2631	0.08253
188	2063	6653	0.0962808
1236	4238	1731	0.2580011
1205	48523	26068	0.1492535
1333	3874	135	0.1140219
507	224	5692	0.121951
5307	32674	28885	0.2620202
1065	248	28902	0.1588888
37419	1815	298	0.2810401
166	12409	56210	0.2121746
186	2206	108	0.27444
669	20775	10666	0.012744
5843	43328	29946	0.2875707
17755	607	48675	0.0986898
11334	144	224	0.0463819
1240	53617	1633	0.1970593
2267	78461	35038	0.1336885
7244	125	29140	0.0997525
66301	313	4611	0.0830063
1265	937	3405	0.0737986
288	19931	18604	0.0563724
20074	53905	237	0.0602509
80057	380	184	0.1884207
171	44797	45420	0.2274053
3328	34624	1203	0.2995884
1641	1137	3937	0.102867
15030	150	403	0.1685612
3024	90298	408	0.1451901
181	58953	157	0.2209245
31300	3645	20575	0.2081533
2357	101	180	0.1864124
7642	2561	25251	0.1792856
2084	3069	167	0.2416612
31004	3771	133	0.2007899
